cluster,gene,logfoldchanges,pvals_adj,scores
0,axo23.A1B,-0.029384997,1.8018066708614027e-64,16.993084
0,axo23.D1B,-0.026613086,2.725286393124837e-60,16.4129
0,axo23.E2B,-0.116755255,2.5836095977532556e-46,14.313031
0,axo23.E1B,-0.080097094,1.623577590840835e-45,14.183434
0,axo23.C11B,-0.20218967,6.211273625750412e-38,12.894164
0,axo23.G1B,-0.2193548,1.5646995920902935e-30,11.500193
0,axo23.A9B,-0.27863052,3.5849435782046566e-27,10.809821
0,axo23.C7B,-0.32693192,3.256785322128433e-21,9.46662
0,axo3.H5,-0.4938778,3.832645353130843e-18,8.695111
0,axo23.B8B,-0.3512648,5.5525563847767094e-18,8.652608
0,axo23.E5B,-0.3473618,7.355949241563232e-17,8.351905
0,axo23.C3B,-0.3842069,1.9717213180564413e-16,8.234457
0,axo23.G9B,-0.30531192,4.8139916192669475e-15,7.8417335
0,axo23.F6B,-0.33037475,2.8114176342227964e-12,6.9952087
0,axo23.B3B,-0.38764668,3.4799384907715665e-11,6.632713
0,axo23.B10B,-0.41533774,1.220617036474504e-09,6.085532
0,axo23.E9B,-0.32810554,1.9283700108315182e-09,6.0117016
0,axo23.A2B,-0.3990281,3.467647538515997e-09,5.9155827
0,axo23.F2B,-0.49296054,8.105772484214446e-08,5.372844
0,axo23.B4B,-0.4707581,1.7560350259171078e-07,5.231279
0,axo23.F3B,-0.51971865,4.5432392783475733e-07,5.052403
0,axo9.C4A,-0.67722696,5.83411874415766e-07,5.0042734
0,axo23.A7B,-0.5055686,3.3789801370176285e-06,4.653619
0,axo23.B6B,-0.5213581,6.134372560457536e-06,4.528639
0,axo23.B11B,-0.56944346,1.2526150790332294e-05,4.375008
0,axo23.E3B,-0.52252746,3.22439473477171e-05,4.163137
0,axo23.E7B,-0.5646417,4.7429303130872043e-05,4.0739965
0,axo23.G3B,-0.5421687,0.0011890479525451616,3.248408
0,axo23.D3B,-0.5604606,0.0036913035653472685,2.9102046
0,axo23.F5B,-0.59903747,0.00787403661617076,2.6641755
0,axo23.A8B,-0.63457,0.008602620269505057,2.6339834
0,axo23.C1B,-0.4398359,0.010404393327874854,2.5684628
0,axo23.H3B,-0.54564977,0.016555425539345203,2.402542
0,axo23.B5B,-0.6156275,0.02301383235970355,2.2792509
0,axo23.B7B,-0.6031814,0.026227834651906833,2.228648
0,axo23.G11B,-0.67115027,0.06019175714094997,1.884888
0,axo23.H9B,-0.52029634,0.1021323195229452,1.6398607
0,axo23.C4B,-0.61036026,0.11251624274591598,1.5919343
0,axo23.H2B,-0.6029459,0.11530323298590571,1.5793571
0,axo23.A6B,-0.62239707,0.5060168936192146,0.6683281
0,axo23.H8B,-0.7379264,0.6315700184058778,0.4809877
0,axo23.D7B,-0.7320751,0.9484569808416493,-0.06464459
0,axo9.G3A,-0.8474519,0.7029263155500373,-0.38215703
0,axo23.D9B,-0.7593201,0.5873930468904509,-0.54473543
0,axo3.B12,-0.7401535,0.5149242931687145,-0.65383106
0,axo23.F12B,-0.75560266,0.4980395883006821,-0.6814798
0,axo23.G4B,-0.7112626,0.43649531144717457,-0.78241956
0,axo23.F9B,-0.6173669,0.30795269911464435,-1.0238312
0,axo23.F7B,-0.7975361,0.1853254086704708,-1.3287035
0,axo23.C8B,-0.7752423,0.1266848562247731,-1.5315359
0,axo23.A11B,-0.7669175,0.09972433904607442,-1.6518283
0,axo23.F11B,-0.80577046,0.059284914007825144,-1.8919299
0,axo23.H5B,-0.7306453,0.03318106825679854,-2.1355698
0,axo23.D5B,-0.7605428,0.01492021522133535,-2.440645
0,axo23.F1B,-0.64743114,0.006603051162997958,-2.7231376
0,axo23.A4B,-0.7294408,0.0031696927712430017,-2.9577527
0,axo23.G6B,-0.8210974,0.001527835999843411,-3.1761472
0,axo20.B1A,-1.791566,5.914644101047576e-05,-4.0221114
0,axo10.C11,-1.1013209,2.1754571158207293e-05,-4.2522774
0,axo9.F1A,-1.0645344,2.030804028530088e-05,-4.267846
0,axo23.E11B,-0.90571874,1.8083184873350396e-05,-4.293855
0,axo23.H4B,-0.7914765,1.5952745955588297e-05,-4.3217773
0,axo23.E4B,-0.7356228,1.0292038171478691e-05,-4.4178543
0,axo23.H1B,-0.64312655,4.479630131743726e-06,-4.594811
0,axo23.D4B,-0.8224499,4.161409702698929e-06,-4.610331
0,axo16.C2,-1.0427889,2.123290106281253e-06,-4.748652
0,axo23.B1B,-0.6792622,1.9872329427389855e-06,-4.7622027
0,axo23.B2B,-0.7384389,1.2914490367854365e-06,-4.8485966
0,axo20.H3B,-1.7017471,7.076626588345689e-07,-4.96678
0,axo10.E2,-1.0943677,3.410645683271424e-07,-5.107042
0,axo20.D6B,-1.4020382,1.5788130895581574e-07,-5.251066
0,axo23.A10B,-0.7149189,9.664658507125336e-08,-5.3408933
0,axo23.C5B,-0.87463516,4.646745011628539e-08,-5.4724245
0,axo20.F4B,-1.574102,4.041196961817105e-09,-5.890197
0,axo3.E5,-0.9370379,2.9310931527304548e-09,-5.9433293
0,axo10.E10,-1.1400753,1.2090269387897119e-09,-6.0871997
0,axo14.G2A,-1.0278658,1.1604894623691345e-09,-6.0938983
0,axo9.C11A,-1.1202801,1.5769203949968985e-10,-6.4057775
0,axo20.B11A,-1.5878059,3.654736387375892e-11,-6.625349
0,axo20.B5B,-2.0746439,2.6318563510100105e-11,-6.673934
0,axo20.C2B,-1.7167218,2.3305744521874992e-11,-6.691871
0,axo20.C1B,-1.7690105,1.959191527679553e-11,-6.717348
0,axo23.D10B,-0.7162452,9.112311841540277e-12,-6.8281813
