cluster,gene,logfoldchanges,pvals_adj,scores
1,axo6.D7B,2.8895674,6.932593104827538e-72,18.28221
1,axo13.C2B,2.6246731,4.742224273823396e-64,17.198061
1,axo29.E6A,2.5550456,4.523786307651975e-62,16.910866
1,axo6.C12B,2.695876,2.547987168935292e-56,16.090996
1,axo6.H5B,2.866766,3.019397015434166e-56,16.076208
1,axo6.A2B,2.4320445,1.1127025186684209e-54,15.83968
1,axo29.G1A,2.5229201,9.417188811815134e-54,15.695026
1,axo29.E4A,2.579583,1.8959281252189036e-52,15.4947605
1,axo13.D7B,2.568525,1.0669519137075597e-51,15.375694
1,axo6.D4B,2.764824,7.537516933999054e-51,15.243882
1,axo6.D8B,2.714873,1.9317922361757182e-50,15.175825
1,axo29.D4A,2.3551993,2.776753963892765e-50,15.149978
1,axo6.B8B,2.6373837,6.744854674179004e-50,15.089567
1,axo13.C1B,2.4094398,1.1907726359158353e-49,15.050098
1,axo29.A1A,2.176707,1.7401409540618082e-49,15.023113
1,axo29.C8A,2.0638175,6.066667415449094e-48,14.775511
1,axo6.A7B,2.5528533,7.249790159334925e-48,14.761916
1,axo29.E5A,2.5610821,7.2865239597558e-48,14.760025
1,axo20.D11A,3.0447943,7.724624281489221e-48,14.75457
1,axo29.A11B,2.5839431,1.138137185899575e-47,14.725064
1,axo12.E10,2.4325335,1.138137185899575e-47,14.724365
1,axo29.F5A,2.4406898,1.138137185899575e-47,14.724036
1,axo29.G3A,2.6430845,1.3664290510112178e-47,14.710277
1,axo29.G11B,2.6666238,7.711035580516667e-47,14.591333
1,axo13.D5B,2.529347,1.5665901864670326e-46,14.541545
1,axo29.G6A,2.289087,1.6529333904219265e-46,14.536543
1,axo29.F10B,2.531407,2.1385665838999847e-46,14.517589
1,axo29.A6A,2.4176323,3.242581534208426e-46,14.4877405
1,axo29.F12B,2.7165284,6.0628745447733816e-46,14.443419
1,axo29.F4A,2.6987045,6.492591129081033e-46,14.437458
1,axo6.B1B,2.5884511,1.790222343554419e-45,14.363754
1,axo29.C11A,2.3999403,2.4242423802178495e-45,14.341566
1,axo6.B6B,3.2969627,2.9369022196953723e-45,14.32597
1,axo29.C9A,2.0853338,5.985868116348241e-45,14.274207
1,axo29.D5B,2.4763124,1.0744741261784887e-44,14.230161
1,axo29.G4A,2.5121498,1.1758970196498894e-44,14.222815
1,axo12.G7,2.4843094,1.5078927818616577e-44,14.204382
1,axo29.D5A,2.6002831,1.5675700889498974e-44,14.200654
1,axo29.B4A,2.0934563,2.0494100917884191e-44,14.180865
1,axo6.F2B,2.4168186,2.1458042745899226e-44,14.176658
1,axo20.G6A,3.0689552,2.2958922983600873e-44,14.170942
1,axo29.F12A,2.3957365,3.567072559690228e-44,14.13901
1,axo13.G12B,2.3191502,5.084635575513091e-44,14.113095
1,axo13.G5B,2.1777947,1.594935671370513e-43,14.029483
1,axo29.C1B,2.5220175,1.864349002734582e-43,14.017505
1,axo29.H4A,2.1688037,2.091816198878514e-43,14.007555
1,axo15.F6,2.2378528,2.9121618353633746e-43,13.983161
1,axo29.B9A,2.0439825,3.8731696761916604e-43,13.961576
1,axo6.C11B,2.4725823,3.8731696761916604e-43,13.961138
1,axo29.G2B,2.765711,4.171102163854846e-43,13.955011
1,axo29.H1A,2.213305,4.87437777718733e-43,13.942239
1,axo7.G5B,2.4349658,8.483272525709334e-43,13.901015
1,axo20.A5B,2.7523873,1.1146348115492815e-42,13.880595
1,axo15.E6,2.2835457,1.1146348115492815e-42,13.8798685
1,axo7.E1B,2.5132127,1.1287530438269562e-42,13.878183
1,axo7.E4B,2.5157776,1.1879546422084463e-42,13.873743
1,axo29.A5B,2.506329,1.3968610100590236e-42,13.861354
1,axo7.E7B,2.4407775,1.6390310117404347e-42,13.848362
1,axo15.D11,2.4366162,1.8404115464428767e-42,13.83929
1,axo6.G9B,2.5597956,2.5581552644233096e-42,13.814128
1,axo15.B1,1.9650897,2.6956637568701022e-42,13.809632
1,axo29.H1B,2.2136123,3.158737542088893e-42,13.79749
1,axo29.D10A,2.2374349,3.871548843600941e-42,13.7821
1,axo6.F11B,2.5766437,4.918620665087527e-42,13.764106
1,axo29.H2A,1.889461,5.670535742192827e-42,13.752429
1,axo20.B9B,3.1031923,5.75055473972152e-42,13.75073
1,axo13.B3B,2.232794,9.628066669911918e-42,13.712713
1,axo29.E1B,2.3389184,3.756802556597289e-41,13.611572
1,axo7.H3B,2.1785798,4.044638404865468e-41,13.605515
1,axo6.E5B,2.314967,5.941984221359021e-41,13.576708
1,axo13.H1B,2.4664433,6.330293859635494e-41,13.571418
1,axo29.D2B,2.5540218,9.734437372924012e-41,13.538554
1,axo6.H4B,2.5773463,1.1413819936269635e-40,13.526219
1,axo29.A2A,2.1701376,2.311710712868928e-40,13.472963
1,axo29.E12B,3.1018906,3.329594927624912e-40,13.444759
1,axo29.E2A,2.4881208,4.30569359671863e-40,13.424503
1,axo29.C2B,2.422744,6.3236307960053344e-40,13.394792
1,axo20.A2A,2.933911,7.170929129395742e-40,13.384856
1,axo6.B9B,2.261829,8.123988076553883e-40,13.374989
1,axo20.H1A,2.6075697,8.950953996314065e-40,13.36719
1,axo29.G4B,2.3611016,8.956596261721263e-40,13.36656
1,axo29.E4B,2.8292003,9.796479098059072e-40,13.35931
1,axo29.C12A,2.097989,1.0024609854224207e-39,13.357021
1,axo6.C4B,2.266165,1.3381270610846642e-39,13.334929
1,axo20.D8B,2.3631039,1.6119377519725676e-39,13.320471
1,axo29.C1A,1.8999212,1.9622425173567253e-39,13.305218
1,axo29.C5B,2.472069,2.5514725652497298e-39,13.285017
1,axo13.G9B,2.3022435,2.815187490445743e-39,13.277096
1,axo29.H5A,2.296128,5.2574109611808674e-39,13.229678
1,axo29.H3B,2.1153991,3.098185539928672e-38,13.094028
1,axo20.B2B,2.9222546,6.274127805949226e-38,13.039251
1,axo13.G10B,2.3792076,6.900596757414266e-38,13.031453
1,axo15.B9,1.92365,8.128167309500833e-38,13.01842
1,axo20.C8B,3.0899806,1.0116333777337984e-37,13.001165
1,axo6.C6B,2.86612,1.1327864615316596e-37,12.991983
1,axo13.H4B,2.6897945,1.8963365495738073e-37,12.951883
1,axo29.F3A,2.3240182,1.8963365495738073e-37,12.951446
1,axo15.C6,2.040332,2.3228650860217342e-37,12.935342
1,axo6.A3B,2.719253,2.8119821977538128e-37,12.92013
1,axo29.G12B,2.448991,3.4504035606755315e-37,12.903863
1,axo20.A2B,2.8159766,9.821067274458205e-37,12.822512
1,axo20.A4A,2.773272,1.2421380664153627e-36,12.803778
1,axo20.F4A,3.234095,2.12469761473003e-36,12.761526
1,axo6.D5B,2.428944,2.5194227706610415e-36,12.747739
1,axo6.E3B,2.4085417,3.5687792009297144e-36,12.720056
1,axo13.A11B,1.9695202,7.501447024819988e-36,12.661372
1,axo29.B5B,2.3251565,1.0908737814322368e-35,12.631441
1,axo12.B4,2.0645318,1.3821019130517342e-35,12.612309
1,axo20.B10B,2.9575775,1.4662049765256355e-35,12.607156
1,axo20.H12B,2.865514,1.7033966423302093e-35,12.594835
1,axo20.G5A,2.6532266,3.6693982605989897e-35,12.533645
1,axo12.C10,2.2183774,7.50634374781741e-35,12.476276
1,axo29.H12A,2.2735734,8.427869874176337e-35,12.466559
1,axo13.G11B,2.1014204,2.0742845547391722e-34,12.393103
1,axo13.D2B,1.918245,5.413739382749452e-34,12.314986
1,axo7.C8B,1.9909776,5.891557360885139e-34,12.307681
1,axo29.A12B,2.1204014,6.09216037084942e-34,12.3045025
1,axo20.H6A,2.8878849,7.712263651039856e-34,12.284973
1,axo12.A10,2.3589177,7.82758401744487e-34,12.2833
1,axo20.D4B,2.9544716,9.251156425513212e-34,12.269021
1,axo13.E12B,2.3464236,9.251156425513212e-34,12.268843
1,axo20.G11A,2.6510825,1.4341883600322953e-33,12.232361
1,axo15.F5,2.3738222,2.5847113732770636e-33,12.1839695
1,axo29.H11B,2.7642956,2.6719359365810756e-33,12.180803
1,axo20.C9B,3.0596097,3.0289588383701593e-33,12.170114
1,axo11.A5B,1.971404,4.5951125878616425e-33,12.1355915
1,axo20.E8A,2.8890781,4.9429222352963424e-33,12.129165
1,axo29.B2B,2.2949953,6.186684228622248e-33,12.10995
1,axo20.E5B,2.894874,6.186684228622248e-33,12.109868
1,axo13.B4B,1.9082943,9.455141040249549e-33,12.074578
1,axo20.E6A,2.6391685,9.544499809931683e-33,12.073359
1,axo6.F9B,2.243763,1.2859832095286656e-32,12.048362
1,axo7.C5B,2.1782825,1.4692351589362632e-32,12.036932
1,axo20.H6B,2.9060502,1.8121227892198575e-32,12.019171
1,axo20.D11B,2.7226162,2.1198048212297347e-32,12.005329
1,axo29.E2B,2.5249813,3.0006473992820557e-32,11.97611
1,axo15.A8B,1.9758316,3.612931020057363e-32,11.960268
1,axo13.D8B,1.8727802,3.929137903972323e-32,11.9528675
1,axo20.F3A,2.7298856,4.2015252595383967e-32,11.94644
1,axo12.B3,2.112939,8.662196570650259e-32,11.885715
1,axo29.E5B,2.6263306,9.437788731936275e-32,11.878122
1,axo10.C9B,1.793482,9.492262322788743e-32,11.877217
1,axo11.B1B,1.6889604,1.2843403318757419e-31,11.851329
1,axo29.F6B,2.4029093,1.2843403318757419e-31,11.8510685
1,axo12.C1,1.9821795,1.2962640486290515e-31,11.849876
1,axo29.E1A,1.7739563,2.104629321541434e-31,11.808776
1,axo29.A4A,1.859511,2.7495655187837467e-31,11.785862
1,axo20.D7B,3.0223818,3.218060328094023e-31,11.772184
1,axo7.G4B,2.4456294,3.62718776117587e-31,11.761673
1,axo29.H11A,2.125765,8.609132757970547e-31,11.688066
1,axo12.A1,2.5454717,8.671837693292429e-31,11.687037
1,axo15.A9B,1.7311606,1.064559476635488e-30,11.669194
1,axo20.G12B,2.325127,4.405608917980207e-30,11.547318
1,axo29.F5B,2.132584,5.033395075691253e-30,11.53545
1,axo6.G6B,2.0964663,8.77934488852713e-30,11.486661
1,axo7.D6B,2.4528718,9.981096034779473e-30,11.475163
1,axo10.C12B,2.261083,3.4195561395621643e-29,11.367088
