Ortholog_Gene_Symbol,Axolotl_scRNA,Mouse_BulkRNA,Human_Proteomics,Conservation_Score
2310061N02RIK,False,True,False,1
A630014C17RIK,False,True,False,1
ABAT,False,True,False,1
ABHD12B,False,True,False,1
AC164092.4,False,True,False,1
ACTA2,False,False,True,1
ADTRP,False,True,False,1
AI464131,False,True,False,1
ALX4,False,True,False,1
AOX4,False,True,False,1
APLP1,False,True,False,1
ATP12A,False,True,False,1
AW551984,False,True,False,1
AXIN2,False,False,True,1
AXO10.A1,True,False,False,1
AXO10.A10,True,False,False,1
AXO10.A10B,True,False,False,1
AXO10.A11,True,False,False,1
AXO10.A11B,True,False,False,1
AXO10.A12,True,False,False,1
AXO10.A12B,True,False,False,1
AXO10.A1B,True,False,False,1
AXO10.A2,True,False,False,1
AXO10.A3,True,False,False,1
AXO10.A3B,True,False,False,1
AXO10.A4,True,False,False,1
AXO10.A4B,True,False,False,1
AXO10.A5,True,False,False,1
AXO10.A6,True,False,False,1
AXO10.A6B,True,False,False,1
AXO10.A7,True,False,False,1
AXO10.A8,True,False,False,1
AXO10.A8B,True,False,False,1
AXO10.A9,True,False,False,1
AXO10.A9B,True,False,False,1
AXO10.B1,True,False,False,1
AXO10.B10,True,False,False,1
AXO10.B10B,True,False,False,1
AXO10.B11,True,False,False,1
AXO10.B11B,True,False,False,1
AXO10.B12,True,False,False,1
AXO10.B1B,True,False,False,1
AXO10.B2,True,False,False,1
AXO10.B2B,True,False,False,1
AXO10.B3,True,False,False,1
AXO10.B3B,True,False,False,1
AXO10.B4,True,False,False,1
AXO10.B4B,True,False,False,1
AXO10.B5,True,False,False,1
AXO10.B6B,True,False,False,1
AXO10.B7,True,False,False,1
AXO10.B8,True,False,False,1
AXO10.B9,True,False,False,1
AXO10.B9B,True,False,False,1
AXO10.C1,True,False,False,1
AXO10.C10,True,False,False,1
AXO10.C11,True,False,False,1
AXO10.C12,True,False,False,1
AXO10.C12B,True,False,False,1
AXO10.C1B,True,False,False,1
AXO10.C2,True,False,False,1
AXO10.C2B,True,False,False,1
AXO10.C3,True,False,False,1
AXO10.C3B,True,False,False,1
AXO10.C4,True,False,False,1
AXO10.C5B,True,False,False,1
AXO10.C6,True,False,False,1
AXO10.C6B,True,False,False,1
AXO10.C7,True,False,False,1
AXO10.C7B,True,False,False,1
AXO10.C8,True,False,False,1
AXO10.C8B,True,False,False,1
